,IC Mean,IC Std.,Risk-Adjusted IC,t-stat(IC),p-value(IC),IC Skew,IC Kurtosis,AlphaName
1D,-0.02009214370141439,0.14016726959383627,-0.1433440471490637,-4.2498548722104825,2.3678821505444023e-05,0.060765804826113386,0.025012038902766598,alpha068
1D,-0.040859662705387136,0.15136693013151992,-0.2699378435559533,-7.984869094774411,4.416593309327518e-15,-0.017226816018981427,-0.24556244268993588,alpha070
1D,-0.04522528443214635,0.20300927936282928,-0.22277446909861323,-6.521625082632307,1.188045489170938e-10,0.11771207273317971,0.33396756497291724,alpha071
1D,0.0007349704342772542,0.18243594695236068,0.004028649213902873,0.11916905083785471,0.9051688105496053,0.060758183061873056,0.07973454800188096,alpha072
1D,0.007852281291140918,0.11888892366493488,0.06604720649394584,1.923323684623711,0.05477434763870072,-0.05508407641033912,-0.21742761174558245,alpha073
1D,-0.010854710956266871,0.11719207307973768,-0.09262325233278626,,,,,alpha074
1D,-0.006784498001939347,0.12464753873927603,-0.05442945821923056,-1.5961850434562748,0.11081528613316799,-0.0336367166019685,0.08406193539846152,alpha076
1D,-0.027665411394272546,0.13711681683077867,-0.20176526872276748,-5.8442312285761355,7.284032920226683e-09,-0.09618056829741978,-0.09269454166785884,alpha077
1D,-0.03642135773770871,0.16047503771097374,-0.2269596459189248,-6.648019569112468,5.283634920317422e-11,-0.06335803721978697,0.1669114170922752,alpha078
1D,-0.0439711792049053,0.1689595616762882,-0.26024676418816856,-7.706996025894366,3.487926451184321e-14,0.057936500467123765,0.10888752794696721,alpha079
1D,-0.021878187020857087,0.13966199868894677,-0.15665096609124057,-4.633798067477058,4.1366515865659206e-06,-0.05913035368056053,-0.010215393244405124,alpha080
1D,-0.03413240294340286,0.15948425859345436,-0.21401737854524372,-6.348781435917664,3.4745001260488436e-10,0.058369559939871765,-0.39328369542662234,alpha081
1D,-0.00457459493877049,0.18473547753901715,-0.024762947538348772,-0.7324978665079076,0.46406113201877597,0.04534311202134724,0.03429877950459215,alpha082
1D,0.02195659594226664,0.11733631513706615,0.187125323618848,,,,,alpha083
1D,-0.03520277841100316,0.1578550295156769,-0.22300701168034118,-6.539849344013393,1.0560854867649592e-10,0.04922200977580515,-0.3894244649671146,alpha084
1D,0.0014541701311530592,0.13653074709987859,0.010650861890393569,,,,,alpha085
1D,0.008056932469425647,0.11372249984846478,0.07084730356931573,2.0824769207626193,0.03759294022053228,-0.061005137116024906,-0.1407165027012538,alpha087
